year,Q
1943,330.3
1944,218.8
1945,295.6
1946,188.5
1947,213.3
1948,314.6
1949,441.9
1950,269.0
1951,313.0
1952,285.7
1953,523.5
1954,342.1
1955,264.0
1956,250.5
1957,219.4
1958,248.6
1959,447.4
1960,464.1
1961,512.9
1962,262.0
1963,150.8
1964,429.1
1965,200.8
1966,273.7
1967,142.8
1968,266.9
1969,251.0
1970,349.7
1971,283.4
1972,231.3
1973,164.1
1974,266.4
1975,230.0
1976,178.7
1977,237.2
1978,199.7
1979,280.1
1980,186.2
1981,372.7
1982,141.3
1983,157.8
1984,223.3
1985,235.8
1986,205.4
1987,453.3
1988,228.1
1989,407.0
1990,179.0
1991,204.5
1992,220.0
1993,270.3
1994,274.3
1995,144.5
1996,183.2
1997,221.1
1998,215.3
1999,225.4
2000,118.9
2001,170.6
2002,288.3
2003,491.9
2004,184.1
2005,178.3
2006,390.2
2007,213.3
2008,193.8
2009,242.7
2010,575.1
2011,161.6
2012,241.8
2013,220.5
2014,267.4
2015,208.1
2016,219.3
2017,321.7
2018,145.9
2019,183.3
2020,312.3
2021,433.9
2022,165.2
