year,Q
1950,233.1
1951,297.3
1952,464.7
1953,346.0
1954,272.9
1955,326.5
1956,337.4
1957,490.7
1958,353.2
1959,296.7
1960,447.6
1961,464.8
1962,475.4
1963,520.9
1964,551.3
1965,449.8
1966,255.4
1967,444.9
1968,274.0
1969,290.6
1970,294.5
1971,420.1
1972,516.5
1973,397.3
1974,499.1
1975,405.1
1976,312.7
1977,428.1
1978,189.8
1979,439.5
1980,546.8
1981,342.6
1982,646.2
1983,313.9
1984,202.2
1985,310.3
1986,362.5
1987,411.8
1988,221.7
1989,367.1
1990,294.4
1991,302.5
1992,419.3
1993,321.1
1994,658.2
1995,593.7
1996,828.1
1997,297.3
1998,579.2
1999,324.6
2000,366.9
2001,269.1
2002,406.4
2003,646.6
2004,207.7
2005,390.2
2006,283.3
2007,445.9
2008,233.6
2009,402.9
2010,420.0
2011,515.8
2012,208.7
2013,605.9
2014,364.3
2015,415.2
2016,249.3
2017,267.9
2018,368.8
2019,301.0
2020,361.2
