year,Q
1965,209.9
1966,323.6
1967,232.9
1968,200.2
1969,624.8
1970,308.7
1971,469.7
1972,266.8
1973,186.3
1974,150.1
1975,240.7
1976,531.6
1977,302.9
1978,118.8
1979,180.9
1980,303.4
1981,212.7
1982,288.1
1983,400.6
1984,725.5
1985,315.8
1986,187.7
1987,187.3
1988,337.9
1989,157.8
1990,217.2
1991,204.4
1992,336.7
1993,209.1
1994,154.6
1995,553.7
1996,296.0
1997,375.4
1998,335.7
1999,219.3
2000,355.2
2001,361.2
2002,326.9
2003,276.6
2004,222.7
2005,335.9
2006,568.9
2007,411.3
2008,449.7
2009,148.6
2010,358.7
2011,138.7
2012,243.0
2013,265.7
2014,221.8
2015,324.2
2016,261.3
2017,266.0
2018,273.8
2019,631.5
2020,198.2
2021,215.1
2022,325.7
