year,Q
1958,174.8
1959,220.0
1960,154.3
1961,171.6
1962,177.8
1963,132.9
1964,179.7
1965,147.9
1966,121.9
1967,168.4
1968,183.7
1969,155.0
1970,160.5
1971,102.0
1972,118.4
1973,180.6
1974,77.5
1975,114.7
1976,162.1
1977,125.0
1978,135.8
1979,172.6
1980,186.2
1981,81.9
1982,107.1
1983,113.2
1984,164.5
1985,211.1
1986,107.7
1987,181.4
1988,181.1
1989,101.5
1990,197.7
1991,207.7
1992,85.9
1993,97.5
1994,153.1
1995,182.4
1996,210.7
1997,138.5
1998,118.0
1999,413.6
2000,160.4
2001,124.0
2002,159.8
2003,219.0
2004,161.4
2005,133.5
2006,106.6
2007,162.2
2008,131.0
2009,215.5
2010,157.5
2011,87.4
2012,173.9
2013,116.3
2014,206.4
2015,135.6
2016,287.7
2017,157.7
2018,184.9
2019,138.8
2020,133.4
2021,187.8
2022,330.5
