year,Q
1971,276.0
1972,302.9
1973,224.7
1974,363.8
1975,200.1
1976,376.1
1977,315.9
1978,393.5
1979,186.3
1980,683.5
1981,342.0
1982,237.8
1983,483.3
1984,178.3
1985,407.2
1986,360.4
1987,360.5
1988,217.6
1989,371.7
1990,499.9
1991,219.2
1992,352.8
1993,323.9
1994,229.1
1995,856.4
1996,342.4
1997,336.0
1998,271.5
1999,264.1
2000,491.4
2001,360.0
2002,822.2
2003,241.1
2004,366.2
2005,204.9
2006,364.1
2007,191.7
2008,414.9
2009,267.0
2010,254.4
2011,355.0
2012,495.6
2013,237.0
2014,1081.1
2015,266.6
2016,233.1
2017,439.2
2018,204.4
2019,359.0
2020,246.1
2021,315.6
2022,150.6
