year,Q
1933,190.2
1934,189.5
1935,246.1
1936,135.4
1937,160.9
1938,177.5
1939,124.2
1940,89.8
1941,161.8
1942,291.8
1943,108.6
1944,146.7
1945,156.5
1946,136.3
1947,147.7
1948,170.5
1949,176.9
1950,209.2
1951,173.1
1952,123.1
1953,199.2
1954,197.8
1955,259.0
1956,344.4
1957,142.9
1958,126.6
1959,243.3
1960,219.2
1961,160.4
1962,256.6
1963,248.7
1964,130.8
1965,168.8
1966,246.8
1967,182.2
1968,214.3
1969,154.1
1970,237.8
1971,140.6
1972,135.5
1973,108.8
1974,131.4
1975,109.7
1976,142.9
1977,190.3
1978,181.7
1979,243.2
1980,266.0
1981,150.0
1982,222.5
1983,106.0
1984,193.2
1985,181.9
1986,113.0
1987,484.7
1988,115.3
1989,296.6
1990,127.8
1991,216.2
1992,257.4
1993,212.0
1994,209.3
1995,157.3
1996,267.2
1997,76.3
1998,265.6
1999,150.9
2000,201.0
2001,164.9
2002,152.5
2003,271.8
2004,175.7
2005,158.4
2006,283.3
2007,117.6
2008,119.7
2009,160.2
2010,109.6
2011,180.3
2012,206.7
2013,170.9
2014,168.3
2015,217.4
2016,153.8
2017,135.7
2018,222.9
2019,125.5
2020,109.7
2021,168.7
2022,130.0
