year,Rainfall_mm
1972,41.9
1973,42.9
1974,30.4
1975,39.0
1976,44.3
1977,37.3
1978,61.4
1979,53.7
1980,48.6
1981,47.3
1982,72.7
1983,47.7
1984,70.7
1985,46.5
1986,68.1
1987,35.0
1988,37.8
1989,47.6
1990,50.4
1991,36.5
1992,40.6
1993,39.8
1994,42.8
1995,32.9
1996,81.7
1997,58.6
1998,50.3
1999,47.7
2000,49.0
2001,43.6
2002,42.5
2003,39.5
2004,39.6
2005,36.2
2006,41.9
2007,40.2
2008,30.9
2009,61.5
2010,33.6
2011,49.2
2012,34.7
2013,50.0
2014,51.6
2015,59.0
2016,37.6
2017,68.7
2018,64.5
2019,50.7
2020,49.1
2021,38.6
2022,48.6
2023,52.7
