year,Q
1915,122
1916,244
1917,214
1918,173
1919,229
1920,156
1921,212
1922,263
1923,146
1924,183
1925,161
1926,205
1927,135
1928,331
1929,225
1930,174
1931,98.8
1932,149
1933,238
1934,262
1935,132
1936,235
1937,216
1938,240
1939,230
1940,192
1941,195
1942,172
1943,173
1944,172
1945,153
1946,142
1947,317
1948,161
1950,204
1952,164
1953,183
1954,161
1955,167
1956,179
1957,185
1958,117
1959,192
1960,337
1961,125
1962,166
1963,99.1
1964,202
1965,230
1966,158
1967,262
1968,154
1969,164
1970,182
1971,164
1972,183
1973,171
1974,250
1975,184
1976,205
1977,237
1978,177
1979,239
1980,187
1981,180
1982,173
1983,174
1984,167
1985,185
1986,232
1987,100
1988,163
1989,203
1990,219
1991,182
1992,184
1993,118
1994,155
