year,Q
1974,73.3
1975,62.6
1976,75.0
1977,58.0
1978,78.8
1979,83.0
1980,60.8
1981,68.6
1982,111.3
1983,116.4
1984,78.6
1985,66.6
1986,69.3
1987,73.8
1988,81.4
1989,78.4
1990,91.7
1991,81.1
1992,73.4
1993,68.8
1994,89.5
1995,76.3
1996,116.7
1997,100.1
1998,90.9
1999,66.3
2000,58.6
2001,61.7
2002,77.7
2003,84.8
2004,68.0
2005,141.1
2006,74.7
2007,55.5
2008,98.3
2009,86.3
2010,98.8
2011,89.3
2012,66.8
2013,63.0
2014,69.7
2015,65.7
2016,64.5
2017,61.7
2018,70.6
2019,73.8
2020,65.3
2021,66.7
2022,62.0
2023,79.6
